name,sport,sport_category,sport_subtype,city,country,continent,date,start_time,distance,description,participants
XXII Carrera de Primavera Donostiarrak,Running,Running,Carrera Popular,San Sebastián,Spain,Europe,2026-03-15,,,Popular spring race in San Sebastián,
IX Lasturko Mendi Martxa,Running,Running,Trail Running,Lastur,Spain,Europe,2026-03-15,,,Mountain trail race in Lastur,
Ibarrako VI Mendi Martxa,Running,Running,Trail Running,Ibarra,Spain,Europe,2026-03-15,,,Sixth edition of Ibarra mountain race,
Gatza trail,Running,Running,Trail Running,Leintz-Gatzaga,Spain,Europe,2026-03-21,,,Trail running race in Leintz-Gatzaga,
XXXIII Media Maratón AzkoitiAzpeitia,Running,Running,Half Marathon,Azkoitia,Spain,Europe,2026-03-21,,21.1km,33rd edition of Azkoitia-Azpeitia half marathon,
XIV Azkoiti Azpeitia Prueba Corta,Running,Running,Carrera Popular,Azkoitia,Spain,Europe,2026-03-21,,,Short distance popular race in Azkoitia,
XIV Donostia Hondarribia Trail,Running,Running,Trail Running,Hondarribia,Spain,Europe,2026-03-22,,,14th edition of Donostia-Hondarribia trail race,
25 Media Maratón San Sebastián,Running,Running,Half Marathon,San Sebastián,Spain,Europe,2026-04-12,,21.1km,25th San Sebastian half marathon,
XIV Kilimon Trail,Running,Running,Trail Running,Mendaro,Spain,Europe,2026-04-18,,,14th edition of Kilimon trail race in Mendaro,
X Leharrei Mendi Lasterketa,Running,Running,Trail Running,Gabiria,Spain,Europe,2026-04-18,,,10th edition of Leharrei mountain race,
Hondarribia 10K,Running,Running,Carrera Popular,Hondarribia,Spain,Europe,2026-04-26,,10km,Popular 10K race in Hondarribia,
Pagoeta Mendi Lasterketa,Running,Running,Trail Running,Zarautz,Spain,Europe,2026-04-26,,,Mountain race in Pagoeta natural park,
Aloñako Igoera,Running,Running,Trail Running,Oñati,Spain,Europe,2026-04-26,,,Mountain ascent race in Oñati,
XLVI Santa Krutz Kross Herrikoia,Running,Running,Cross,Andoain,Spain,Europe,2026-05-01,,,46th edition of Santa Cruz popular cross race,
Landarbaso Trail,Running,Running,Trail Running,Rentería,Spain,Europe,2026-05-03,,,Trail race in Landarbaso area of Rentería,
LXXXII Cross Internacional Juan Muguerza,Running,Running,Cross,Elgoibar,Spain,Europe,2026-01-18,,,82nd international cross country race in Elgoibar,
95 10k Gimnastica de Ulia internacional,Running,Running,Carrera Popular,San Sebastián,Spain,Europe,2026-02-08,,10km,95th international 10K race organized by Gimnastica de Ulia,
Campeonato de Euskadi de Trail,Running,Running,Trail Running,Ordizia,Spain,Europe,2026-02-16,,,Basque Country trail running championship,
Campeonato de Gipuzkoa Sub-23,Running,Running,Carrera Popular,Donostia,Spain,Europe,2026-01-10,,,Gipuzkoa sub-23 championship race,
Campeonato de Gipuzkoa Sub-16,Running,Running,Carrera Popular,Donostia,Spain,Europe,2026-02-07,,,Gipuzkoa sub-16 championship race,
Campeonato de Gipuzkoa Bizkaia Absoluto,Running,Running,Carrera Popular,Donostia,Spain,Europe,2026-01-17,,,Gipuzkoa-Bizkaia absolute championship,
COPA DE EUSKADI DE CLUBES,Running,Running,Carrera Popular,Donostia,Spain,Europe,2026-02-01,,,Basque Country clubs cup competition,
CAMPEONATO DE EUSKADI MÁSTER,Running,Running,Carrera Popular,Donostia,Spain,Europe,2026-02-02,,,Basque Country masters championship,
