name,sport,sport_category,sport_subtype,city,country,continent,date,start_time,distance,description,participants
HYROX Paris Winter,Hyrox,Indoor Fitness Race,Pro,Paris,France,Europe,2026-01-11,08:00,Hyrox,Season opener in Paris Expo,12000
HYROX Lyon,Hyrox,Indoor Fitness Race,Pro,Lyon,France,Europe,2026-01-25,08:00,Hyrox,Rhône-Alpes massive indoor event,9500
HYROX Marseille,Hyrox,Indoor Fitness Race,Open,Marseille,France,Europe,2026-02-15,08:00,Hyrox,Port city Mediterranean vibes,8500
HYROX Nice,Hyrox,Indoor Fitness Race,Pro,Nice,France,Europe,2026-03-01,08:00,Hyrox,Côte d’Azur glamour fitness race,9000
HYROX Toulouse,Hyrox,Indoor Fitness Race,Open,Toulouse,France,Europe,2026-03-22,08:00,Hyrox,Pink City edition,8000
HYROX Bordeaux,Hyrox,Indoor Fitness Race,Pro,Bordeaux,France,Europe,2026-04-12,08:00,Hyrox,Wine capital Hyrox,8800
HYROX Lille,Hyrox,Indoor Fitness Race,Open,Lille,France,Europe,2026-05-03,08:00,Hyrox,Northern France powerhouse,7500
HYROX Strasbourg,Hyrox,Indoor Fitness Race,Open,Strasbourg,France,Europe,2026-10-18,08:00,Hyrox,European capital edition,7000
HYROX Paris Autumn,Hyrox,Indoor Fitness Race,Pro,Paris,France,Europe,2026-11-15,08:00,Hyrox,Second Paris event of the year,14000
HYROX Nantes,Hyrox,Indoor Fitness Race,Open,Nantes,France,Europe,2026-12-06,08:00,Hyrox,Atlantic coast finale,7800
Spartan Trifecta Weekend Valmorel,Spartan,Obstacle Race,Trifecta,Valmorel,France,Europe,2026-02-21,07:00,5K+10K+21K,Alpine winter Trifecta,11000
Spartan Sprint Valmorel,Spartan,Obstacle Race,Sprint,Valmorel,France,Europe,2026-02-21,08:30,5K,Snow-covered mountain Sprint,8000
Spartan Super Valmorel,Spartan,Obstacle Race,Super,Valmorel,France,Europe,2026-02-22,07:30,10K,Alpine Super with ice obstacles,7000
Spartan Beast Valmorel,Spartan,Obstacle Race,Beast,Valmorel,France,Europe,2026-02-22,07:00,21K,Winter Beast in the Alps,6000
Spartan Trifecta Weekend Morzine,Spartan,Obstacle Race,Trifecta,Morzine,France,Europe,2026-06-27,07:00,5K+10K+21K,Portes du Soleil summer Trifecta,13000
Spartan Sprint Morzine,Spartan,Obstacle Race,Sprint,Morzine,France,Europe,2026-06-27,08:30,5K,Alpine summer Sprint,9000
Spartan Super Morzine,Spartan,Obstacle Race,Super,Morzine,France,Europe,2026-06-28,07:30,10K,High-altitude Super,8000
Spartan Beast Morzine,Spartan,Obstacle Race,Beast,Morzine,France,Europe,2026-06-28,07:00,21K,Brutal Alpine Beast,7000
Spartan Ultra Chamonix,Spartan,Obstacle Race,Ultra,Chamonix,France,Europe,2026-07-12,05:30,50K,First French Spartan Ultra under Mont Blanc,3500
Spartan Sprint Verbier (France side),Spartan,Obstacle Race,Sprint,Le Châble,France,Europe,2026-09-13,08:00,5K,Cross-border Alpine Sprint,6500
Marathon du Mont-Blanc,Trail Running,Trail Marathon,42K,Chamonix,France,Europe,2026-06-29,07:00,42km,Iconic alpine marathon,2500
UTMB®,Trail Running,Ultra Trail,171K,Chamonix,France,Europe,2026-08-25,18:00,171km,The world’s toughest ultra,2300
CCC® (UTMB week),Trail Running,Ultra Trail,101K,Chamonix,France,Europe,2026-08-29,09:00,101km,Courmayeur-Champex-Chamonix,2300
OCC (UTMB week),Trail Running,Trail Race,56K,Chamonix,France,Europe,2026-08-28,08:15,56km,Orsières-Champex-Chamonix,2100
TDS® (UTMB week),Trail Running,Ultra Trail,145K,Chamonix,France,Europe,2026-08-26,00:00,145km,Sur les Traces des Ducs de Savoie,1800
