Category,English,Español,Euskera,中文,Français,Català,Deutsch
Navigation,Feed,Últimos movimientos,Berriak,订阅源,Fil d'actualité,Feed,Feed
Navigation,Calendar,Calendario,Egutegia,日历,Calendrier,Calendari,Kalender
Navigation,Discover,Descubrir,Aurkitu,发现,Découvrir,Descobreix,Entdecken
Navigation,Groups,Grupos,Taldeak,群组,Groupes,Grups,Gruppen
Navigation,Messages,Mensajes,Mezuak,消息,Messages,Missatges,Nachrichten
Navigation,Profile,Perfil,Profila,个人资料,Profil,Perfil,Profil
Navigation,Settings,Configuración,Ezarpenak,设置,Paramètres,Configuració,Einstellungen
Navigation,Notifications,Notificaciones,Jakinarazpenak,通知,Notifications,Notificacions,Benachrichtigungen
Authentication,Sign In,Iniciar sesión,Saioa hasi,登录,Se connecter,Inicia sessió,Anmelden
Authentication,Sign Up,Registrarse,Erregistratu,注册,S'inscrire,Registra't,Registrieren
Authentication,Log Out,Cerrar sesión,Saioa amaitu,登出,Se déconnecter,Tanca la sessió,Abmelden
Authentication,Create Account,Crear cuenta,Kontua sortu,创建账户,Créer un compte,Crea un compte,Konto erstellen
Authentication,Forgot Password?,¿Olvidaste tu contraseña?,Pasahitza ahaztu duzu?,忘记密码？,Mot de passe oublié ?,Has oblidat la contrasenya?,Passwort vergessen?
Authentication,Reset Password,Restablecer contraseña,Pasahitza berrezarri,重置密码,Réinitialiser le mot de passe,Restableix la contrasenya,Passwort zurücksetzen
Authentication,Email,Correo electrónico,Posta elektronikoa,电子邮件,E-mail,Correu electrònic,E-Mail
Authentication,Password,Contraseña,Pasahitza,密码,Mot de passe,Contrasenya,Passwort
Authentication,Confirm Password,Confirmar contraseña,Pasahitza berretsi,确认密码,Confirmer le mot de passe,Confirma la contrasenya,Passwort bestätigen
Authentication,Verify Your Email,Verifica tu correo electrónico,Berretsi zure posta elektronikoa,验证您的电子邮件,Vérifiez votre e-mail,Verifica el teu correu electrònic,Bestätige deine E-Mail
Authentication,Continue with Google,Continuar con Google,Google-rekin jarraitu,继续使用 Google,Continuer avec Google,Continua amb Google,Weiter mit Google
Authentication,Continue with Apple,Continuar con Apple,Apple-rekin jarraitu,继续使用 Apple,Continuer avec Apple,Continua amb Apple,Weiter mit Apple
Races,Discover Races,Descubrir carreras,Lasterketak aurkitu,发现赛事,Découvrir des courses,Descobreix curses,Rennen entdecken
Races,Upcoming,Próximas,Etorkizunekoak,即将举行,À venir,Pròximes,Kommende
Races,Completed,Completadas,Osatutakoak,已完成,Terminées,Completades,Abgeschlossene
Races,Sign Up for Race,Inscribirse en la carrera,Lasterketan izena eman,报名参加赛事,S'inscrire à la course,Inscriu-te a la cursa,Für Rennen anmelden
Races,Cancel Registration,Cancelar inscripción,Izen-ematea bertan behera utzi,取消报名,Annuler l'inscription,Cancel·la la inscripció,Registrierung stornieren
Races,Mark as Completed,Marcar como completada,Osatuta markatu,标记为已完成,Marquer comme terminé,Marca com a completada,Als abgeschlossen markieren
