```csv:disable-run
name,sport,sport_category,sport_subtype,city,country,continent,date,start_time,distance,description,participants
HYROX Madrid,Hyrox,Indoor Fitness Race,Pro,Madrid,Spain,Europe,2026-01-18,08:00,Hyrox,World-class indoor fitness race with functional stations,8000
HYROX Barcelona,Hyrox,Indoor Fitness Race,Pro,Barcelona,Spain,Europe,2026-02-08,08:00,Hyrox,Iconic Barcelona edition with full stations,7500
HYROX Valencia,Hyrox,Indoor Fitness Race,Open,Valencia,Spain,Europe,2026-03-15,08:00,Hyrox,Fast-growing Mediterranean Hyrox event,6500
HYROX Bilbao,Hyrox,Indoor Fitness Race,Pro,Bilbao,Spain,Europe,2026-04-05,08:00,Hyrox,Basque Country massive turnout,7000
HYROX Málaga,Hyrox,Indoor Fitness Race,Open,Málaga,Spain,Europe,2026-05-10,08:00,Hyrox,Costa del Sol sunshine fitness race,6000
HYROX Sevilla,Hyrox,Indoor Fitness Race,Pro,Sevilla,Spain,Europe,2026-06-07,08:00,Hyrox,Andalusian heat and passion,6500
HYROX Mallorca,Hyrox,Indoor Fitness Race,Open,Palma de Mallorca,Spain,Europe,2026-09-20,08:00,Hyrox,Island holiday Hyrox weekend,5500
HYROX Alicante,Hyrox,Indoor Fitness Race,Open,Alicante,Spain,Europe,2026-10-11,08:00,Hyrox,Costa Blanca fitness festival,5000
HYROX Madrid Autumn,Hyrox,Indoor Fitness Race,Pro,Madrid,Spain,Europe,2026-11-08,08:00,Hyrox,Second Madrid edition of the year,8500
HYROX Barcelona Autumn,Hyrox,Indoor Fitness Race,Open,Barcelona,Spain,Europe,2026-12-06,08:00,Hyrox,End-of-year Barcelona finale,7000
Spartan Trifecta Weekend Madrid,Spartan,Obstacle Race,Trifecta,Madrid,Spain,Europe,2026-03-22,07:00,5K+21K+Super,Full Trifecta weekend in central Spain,12000
Spartan Sprint Madrid,Spartan,Obstacle Race,Sprint,Madrid,Spain,Europe,2026-03-22,08:00,5K,Fast urban-area Sprint,8000
Spartan Super Madrid,Spartan,Obstacle Race,Super,Madrid,Spain,Europe,2026-03-23,07:30,10K,Super with epic obstacles,7000
Spartan Beast Madrid,Spartan,Obstacle Race,Beast,Madrid,Spain,Europe,2026-03-23,07:00,21K,Full Beast to complete Trifecta,6000
Spartan Trifecta Weekend Barcelona,Spartan,Obstacle Race,Trifecta,Barcelona,Spain,Europe,2026-04-26,07:00,5K+21K+Super,Coastal Trifecta near Barcelona,13000
Spartan Sprint Barcelona,Spartan,Obstacle Race,Sprint,Barcelona,Spain,Europe,2026-04-26,08:30,5K,Beach-area Sprint,8500
Spartan Super Barcelona,Spartan,Obstacle Race,Super,Barcelona,Spain,Europe,2026-04-27,07:30,10K,Super with sea views,7500
Spartan Beast Barcelona,Spartan,Obstacle Race,Beast,Barcelona,Spain,Europe,2026-04-27,07:00,21K,Brutal Beast finale,6500
Spartan Sprint Valencia,Spartan,Obstacle Race,Sprint,Valencia,Spain,Europe,2026-05-17,08:00,5K,City of Arts venue Sprint,7000
Spartan Super Valencia,Spartan,Obstacle Race,Super,Valencia,Spain,Europe,2026-05-18,07:30,10K,Super in futuristic park,6000
Spartan Beast Andalucía,Spartan,Obstacle Race,Beast,Málaga,Spain,Europe,2026-10-18,07:00,21K,Southern Spain mountains Beast,5500
Spartan Sprint Mallorca,Spartan,Obstacle Race,Sprint,Palma de Mallorca,Spain,Europe,2026-06-14,08:00,5K,Island Sprint paradise,5000
Spartan Ultra Mallorca,Spartan,Obstacle Race,Ultra,Palma de Mallorca,Spain,Europe,2026-06-15,06:00,50K,First Spanish Ultra event,3000
Spartan Sprint Bilbao,Spartan,Obstacle Race,Sprint,Bilbao,Spain,Europe,2026-09-27,08:30,5K,Basque industrial Sprint,6000
Spartan Super Sevilla,Spartan,Obstacle Race,Super,Sevilla,Spain,Europe,2026-11-08,07:30,10K,Super in Andalusian heat,5500
Triatlón Sevilla,Triathlon,Olympic Distance,,Sevilla,Spain,Europe,2026-04-27,09:00,Standard,Guadalquivir river classic,2500
Triatlón Valencia,Triathlon,Olympic Distance,,Valencia,Spain,Europe,2026-05-18,08:30,Standard,City of Arts swim and bike,3000
Triatlón Barcelona,Triathlon,Olympic Distance,,Barcelona,Spain,Europe,2026-06-08,08:00,Standard,Nova Icaria beach start,3500
Triatlón Madrid,Triathlon,Olympic Distance,,Madrid,Spain,Europe,2026-06-22,09:00,Standard,Casa de Campo classic,2800
Triatlón Málaga,Triathlon,Olympic Distance,,Málaga,Spain,Europe,2026-09-14,08:30,Standard,Costa del Sol Mediterranean swim,2200
Triatlón Bilbao,Triathlon,Olympic Distance,,Bilbao,Spain,Europe,2026-07-13,09:00,Standard,Nervión river and Guggenheim,2000
Triatlón Alicante,Triathlon,Olympic Distance,,Alicante,Spain,Europe,2026-10-05,08:00,Standard,Postiguet beach start,1800
Triatlón Palma de Mallorca,Triathlon,Olympic Distance,,Palma de Mallorca,Spain,Europe,2026-05-25,08:30,Standard,Bay of Palma crystal waters,2500
Triatlón Zaragoza,Triathlon,Olympic Distance,,Zaragoza,Spain,Europe,2026-06-15,09:00,Standard,Ebro river triathlon,1600
Triatlón San Sebastián,Triathlon,Olympic Distance,,San Sebastián,Spain,Europe,2026-09-07,08:00,Standard,La Concha bay elite race,2000
Triatlón Ibiza,Triathlon,Olympic Distance,,Ibiza,Spain,Europe,2026-05-11,08:30,Standard,Island turquoise waters,2200
Triatlón Tarragona,Triathlon,Olympic Distance,,Tarragona,Spain,Europe,2026-07-20,09:00,Standard,Roman city Mediterranean tri,1500
Triatlón Cádiz,Triathlon,Olympic Distance,,Cádiz,Spain,Europe,2026-10-19,08:30,Standard,Atlantic coast historic city,1700
Triatlón Vigo,Triathlon,Olympic Distance,,Vigo,Spain,Europe,2026-06-29,09:00,Standard,Rías Baixas swim,1400
Triatlón Pontevedra,Triathlon,Olympic Distance,,Pontevedra,Spain,Europe,2026-08-24,08:00,Standard,Galician championship race,1800
Triatlón Santander,Triathlon,Olympic Distance,,Santander,Spain,Europe,2026-07-06,09:00,Standard,Cantabrian coast run,1600
Triatlón Gijón,Triathlon,Olympic Distance,,Gijón,Spain,Europe,2026-08-10,08:30,Standard,San Lorenzo beach start,1500
Triatlón A Coruña,Triathlon,Olympic Distance,,A Coruña,Spain,Europe,2026-09-21,08:00,Standard,Tower of Hercules backdrop,1700
Triatlón Granada,Triathlon,Olympic Distance,,Granada,Spain,Europe,2026-05-04,09:00,Standard,Sierra Nevada mountain swim,1300
Triatlón Marbella,Triathlon,Olympic Distance,,Marbella,Spain,Europe,2026-04-13,08:30,Standard,Luxury Costa del Sol tri,2000
Triatlón Benidorm,Triathlon,Olympic Distance,,Benidorm,Spain,Europe,2026-11-02,08:00,Standard,Skyscraper city triathlon,1800
Triatlón Castellón,Triathlon,Olympic Distance,,Castellón,Spain,Europe,2026-10-12,09:00,Standard,Costa Azahar race,1400
Triatlón Elche,Triathlon,Olympic Distance,,Elche,Spain,Europe,2026-09-28,08:30,Standard,Palm grove finish,1500
Triatlón Vitoria-Gasteiz,Triathlon,Half Ironman,,Vitoria-Gasteiz,Spain,Europe,2026-07-13,07:30,Half Ironman,Basque Country classic 70.3,3000
Triatlón Pamplona-Iruña,Triathlon,Olympic Distance,,Pamplona,Spain,Europe,2026-06-22,09:00,Standard,Running of the bulls city tri,1600
Triatlón Logroño,Triathlon,Olympic Distance,,Logroño,Spain,Europe,2026-09-14,09:00,Standard,La Rioja wine region tri,1300
Triatlón Salamanca,Triathlon,Olympic Distance,,Salamanca,Spain,Europe,2026-05-25,09:00,Standard,Golden city university tri,1400
Triatlón Valladolid,Triathlon,Olympic Distance,,Valladolid,Spain,Europe,2026-06-08,09:00,Standard,Castilla y León classic,1200
Triatlón León,Triathlon,Olympic Distance,,León,Spain,Europe,2026-07-20,09:00,Standard,Cathedral city tri,1100
Triatlón Burgos,Triathlon,Olympic Distance,,Burgos,Spain,Europe,2026-09-07,09:00,Standard,Gothic cathedral start,1000
Triatlón Segovia,Triathlon,Olympic Distance,,Segovia,Spain,Europe,2026-05-18,09:00,Standard,Aqueduct and Alcázar tri,1300
Triatlón Ávila,Triathlon,Olympic Distance,,Ávila,Spain,Europe,2026-06-15,09:00,Standard,Medieval walls triathlon,1100
Triatlón Cuenca,Triathlon,Olympic Distance,,Cuenca,Spain,Europe,2026-07-06,09:00,Standard,Hanging houses tri,1000
Triatlón Teruel,Triathlon,Olympic Distance,,Teruel,Spain,Europe,2026-09-21,09:00,Standard,Mudejar city tri,900
Triatlón Huesca,Triathlon,Olympic Distance,,Huesca,Spain,Europe,2026-06-29,09:00,Standard,Pyrenees gateway tri,950
Triatlón Lleida,Triathlon,Olympic Distance,,Lleida,Spain,Europe,2026-05-11,09:00,Standard,Segria plains tri,1000
Triatlón Girona,Triathlon,Olympic Distance,,Girona,Spain,Europe,2026-10-05,08:30,Standard,Medieval city and river tri,1400
Triatlón Almería,Triathlon,Olympic Distance,,Almería,Spain,Europe,2026-04-27,08:30,Standard,Desert and sea tri,1200
Triatlón Huelva,Triathlon,Olympic Distance,,Huelva,Spain,Europe,2026-11-09,08:30,Standard,Columbus departure port tri,1100
Triatlón Badajoz,Triathlon,Olympic Distance,,Badajoz,Spain,Europe,2026-05-25,09:00,Standard,Portuguese border tri,1000
Triatlón Cáceres,Triathlon,Olympic Distance,,Cáceres,Spain,Europe,2026-06-22,09:00,Standard,UNESCO old town tri,950
Triatlón Ourense,Triathlon,Olympic Distance,,Ourense,Spain,Europe,2026-07-13,09:00,Standard,Thermal springs city tri,900
Triatlón Lugo,Triathlon,Olympic Distance,,Lugo,Spain,Europe,2026-09-14,09:00,Standard,Roman walls triathlon,850
Triatlón Donostia,Spartan,Obstacle Race,Sprint,San Sebastián,Spain,Europe,2026-05-11,08:00,5K,Basque beach Sprint,7000
Triatlón Zaragoza Half,Triathlon,Half Ironman,,Zaragoza,Spain,Europe,2026-09-28,07:30,Half Ironman,Ebro river 70.3,2200
Maratón Valencia Trinidad Alfonso,Running,Road Running,Marathon,Valencia,Spain,Europe,2026-12-07,09:00,42.2km,Fastest Spanish marathon flat course,33000
Maratón Sevilla,Running,Road Running,Marathon,Sevilla,Spain,Europe,2026-02-23,09:00,42.2km,Flat historic city marathon,15000
Maratón Barcelona,Running,Road Running,Marathon,Barcelona,Spain,Europe,2026-03-09,08:30,42.2km,Gaudí and beach marathon,20000
Maratón Madrid,Running,Road Running,Marathon,Madrid,Spain,Europe,2026-04-27,09:00,42.2km,Hilly royal palace marathon,16000
Maratón Málaga,Running,Road Running,Marathon,Málaga,Spain,Europe,2026-12-14,09:00,42.2km,Coastal winter marathon,12000
