Category,English,Italiano,Indu,Japanese,Korean,Turkish,Dutch,Danish
Navigation,Feed,Feed,फ़ीड,フィード,피드,Akış,Feed,Feed
Navigation,Calendar,Calendario,कैलेंडर,カレンダー,캘린더,Takvim,Agenda,Kalender
Navigation,Discover,Scopri,खोजें,発見,발견,Keşfet,Ontdek,Opdag
Navigation,Groups,Gruppi,समूह,グループ,그룹,Gruplar,Groepen,Grupper
Navigation,Messages,Messaggi,संदेश,メッセージ,메시지,Mesajlar,Berichten,Beskeder
Navigation,Profile,Profilo,प्रोफ़ाइल,プロフィール,프로필,Profil,Profiel,Profil
Navigation,Settings,Impostazioni,सेटिंग्स,設定,설정,Ayarlar,Instellingen,Indstillinger
Navigation,Notifications,Notifiche,सूचनाएं,通知,알림,Bildirimler,Meldingen,Notifikationer
Authentication,Sign In,Accedi,साइन इन करें,サインイン,로그인,Giriş Yap,Inloggen,Log ind
Authentication,Sign Up,Iscriviti,साइन अप करें,サインアップ,회원가입,Kaydol,Aanmelden,Tilmeld
Authentication,Log Out,Esci,लॉग आउट करें,ログアウト,로그아웃,Çıkış Yap,Uitloggen,Log ud
Authentication,Create Account,Crea account,खाता बनाएं,アカウントを作成,계정 생성,Hesap Oluştur,Account aanmaken,Opret konto
Authentication,Forgot Password?,Password dimenticata?,पासवर्ड भूल गए?,パスワードをお忘れですか？,비밀번호를 잊으셨나요?,Şifremi Unuttum?,Wachtwoord vergeten?,Glemt adgangskode?
Authentication,Reset Password,Reimposta password,पासवर्ड रीसेट करें,パスワードをリセット,비밀번호 재설정,Şifre Sıfırla,Wachtwoord resetten,Nulstil adgangskode
Authentication,Email,Email,ईमेल,メール,이메일,E-posta,E-mail,E-mail
Authentication,Password,Password,पासवर्ड,パスワード,비밀번호,Şifre,Wachtwoord,Adgangskode
Authentication,Confirm Password,Conferma password,पासवर्ड की पुष्टि करें,パスワードを確認,비밀번호 확인,Şifreyi Onayla,Bevestig wachtwoord,Bekræft adgangskode
Authentication,Verify Your Email,Verifica la tua email,अपना ईमेल सत्यापित करें,メールアドレスを確認,이메일 인증,E-postanızı Doğrulayın,Verifieer je e-mail,Bekræft din e-mail
Authentication,Continue with Google,Continua con Google,Google से जारी रखें,Googleで続行,Google로 계속,Google ile Devam Et,Ga verder met Google,Fortsæt med Google
Authentication,Continue with Apple,Continua con Apple,Apple से जारी रखें,Appleで続行,Apple로 계속,Apple ile Devam Et,Ga verder met Apple,Fortsæt med Apple
Races,Discover Races,Scopri gare,रेस खोजें,レースを発見,레이스 발견,Yarışları Keşfet,Races ontdekken,Opdag løb
Races,Upcoming,Prossime,आगामी,今後の,다가오는,Yaklaşan,Aankomende,Kommende
Races,Completed,Completate,पूर्ण,完了,완료,Tamamlanan,Afgerond,Gennemførte
Races,Sign Up for Race,Iscriviti alla gara,रेस के लिए साइन अप करें,レースに登録,레이스 등록,Yarışa Kaydol,Inschrijven voor race,Tilmeld dig løb
Races,Cancel Registration,Annulla iscrizione,पंजीकरण रद्द करें,登録をキャンセル,등록 취소,Kayıt İptal Et,Registratie annuleren,Annuller tilmelding
Races,Mark as Completed,Segna come completata,पूर्ण के रूप में चिह्नित करें,完了としてマーク,완료로 표시,Tamamlandı Olarak İşaretle,Markeer als voltooid,Marker som gennemført
Races,Add New Race,Aggiungi nuova gara,नई रेस जोड़ें,新しいレースを追加,새 레이스 추가,Yeni Yarış Ekle,Nieuwe race toevoegen,Tilføj nyt løb
Races,Race Details,Dettagli gara,रेस विवरण,レース詳細,레이스 상세,Yarış Detayları,Race details,Løbsdetaljer
Races,Participants,Partecipanti,प्रतिभागी,参加者,참가자,Katılımcılar,Deelnemers,Deltagere
Races,Distance,Distanza,दूरी,距離,거리,Mesafe,Afstand,Afstand
Races,Date,Data,तारीख,日付,날짜,Tarih,Datum,Dato
Races,Start Time,Ora di inizio,प्रारंभ समय,開始時間,시작 시간,Başlangıç Saati,Starttijd,Starttid
Races,Location,Posizione,स्थान,場所,위치,Konum,Locatie,Sted
Races,City,Città,शहर,都市,도시,Şehir,Stad,By
Races,Country,Paese,देश,国,국,Ülke,Land,Land
Races,About,Informazioni,के बारे में,詳細,정보,Hakkında,Over,Om
Races,Added by,Aggiunto da,द्वारा जोड़ा गया,追加者,추가한 사람,Ekleyen,E toegevoegd door,Tilføjet af
Sports,Running,Corsa,दौड़ना,ランニング,러닝,Koşu,Hardlopen,Løb
Sports,Marathon,Maratona,मैराथन,マラソン,마라톤,Maraton,Marathon,Maraton
Sports,Half Marathon,Mezza maratona,अर्ध मैराथन,ハーフマラソン,하프 마라톤,Yarı Maraton,halve marathon,Halvmaraton
Sports,Trail Running,Corsa trail,ट्रेल रनिंग,トレイルランニング,트레일 러닝,Patika Koşusu,Trailrunning,Trail løb
Sports,Ultra Marathon,Ultra maratona,अल्ट्रा मैराथन,ウルトラマラソン,울트라 마라톤,Ultra Maraton,Ultramarathon,Ultramaraton
Sports,Triathlon,Triathlon,त्रिक्रीड़ा,トライアスロン,트라이애슬론,Triatlon,Triatlon,Triatlon
Sports,Cycling,Ciclismo,साइकिल चलाना,サイクリング,사이클링,Bisiklet,Cyclisme,Cykling
Sports,Swimming,Nuoto,तैराकी,スイミング,수영,Yüzme,Zwemmen,Svømning
Sports,Fitness,Fitness,फिटनेस,フィットネス,피트니스,Fitness,Fitness,Fitness
Sports,HYROX,HYROX,HYROX,HYROX,HYROX,HYROX,HYROX,HYROX
Sports,Spartan Race,Spartan Race,Spartan Race,スパルタンレース,스파르탄 레이스,Spartan Race,Spartan Race,Spartan Race
Groups,Create Group,Crea gruppo,समूह बनाएं,グループを作成,그룹 생성,Grup Oluştur,Groep aanmaken,Opret gruppe
