name,sport,sport_category,sport_subtype,city,country,continent,date,start_time,distance,description,participants
Ultra Trail Essen,Trail Running,Ultra Trail,43K,Essen,Germany,Europe,2026-04-02,09:00,43km,Trail adventure in Essen region,9652
Spartan Trifecta Weekend Saarbrücken,Spartan,Obstacle Race,Trifecta Weekend,Saarbrücken,Germany,Europe,2026-02-02,06:15,5K+10K+21K,Full Trifecta weekend in Saarbrücken,13271
Spartan Ultra Wuppertal,Spartan,Obstacle Race,Ultra,Wuppertal,Germany,Europe,2026-06-03,07:45,50K,Endurance Ultra in Wuppertal area,21392
10K Mülheim,Running,Road Running,10K,Mülheim,Germany,Europe,2026-02-13,06:30,10km,Fast 10K race in Mülheim,15916
Half Marathon Jena,Running,Road Running,Half,Jena,Germany,Europe,2026-05-05,08:00,21.1km,Popular half in Jena,28929
Triathlon Aachen,Triathlon,Full Ironman,,Aachen,Germany,Europe,2026-06-19,08:30,Full Ironman,Full distance triathlon in Aachen,13575
HYROX Ludwigshafen,Hyrox,Indoor Fitness Race,Open,Ludwigshafen,Germany,Europe,2026-06-07,10:15,Hyrox,World-class indoor race in Ludwigshafen,3300
HYROX Augsburg Autumn,Hyrox,Indoor Fitness Race,Open,Augsburg,Germany,Europe,2026-12-20,09:00,Hyrox,Autumn edition in Augsburg,18850
Trail Marathon Bielefeld,Trail Running,Trail,42K,Bielefeld,Germany,Europe,2026-05-19,09:00,42km,Trail adventure in Bielefeld region,18001
Spartan Beast Darmstadt,Spartan,Obstacle Race,Beast,Darmstadt,Germany,Europe,2026-04-05,08:00,21K,Brutal Beast near Darmstadt,15183
Spartan Super Regensburg,Spartan,Obstacle Race,Super,Regensburg,Germany,Europe,2026-08-28,06:30,10K,Challenging Super in Regensburg,28378
HYROX Bergisch Gladbach Spring,Hyrox,Indoor Fitness Race,Pro,Bergisch Gladbach,Germany,Europe,2026-01-27,07:45,Hyrox,Bergisch Gladbach fitness challenge,21655
Spartan Trifecta Weekend Wuppertal,Spartan,Obstacle Race,Trifecta Weekend,Wuppertal,Germany,Europe,2026-12-11,06:15,5K+10K+21K,Full Trifecta weekend in Wuppertal,19756
20K Essen,Running,Road Running,20K,Essen,Germany,Europe,2026-05-12,09:45,20km,20K challenge in Essen,29560
Triathlon Heidelberg,Triathlon,Olympic Distance,,Heidelberg,Germany,Europe,2026-02-25,09:00,Standard,Olympic tri in Heidelberg,14001
Ultra Trail Magdeburg,Trail Running,Ultra Trail,62K,Magdeburg,Germany,Europe,2026-10-28,10:30,62km,Trail adventure in Magdeburg region,5331
20K Regensburg,Running,Road Running,20K,Regensburg,Germany,Europe,2026-10-15,08:00,20km,20K challenge in Regensburg,18211
Triathlon Bergisch Gladbach,Triathlon,Half Ironman,,Bergisch Gladbach,Germany,Europe,2026-02-25,06:15,Half Ironman,70.3 event near Bergisch Gladbach,25785
HYROX Potsdam Summer,Hyrox,Indoor Fitness Race,Pro,Potsdam,Germany,Europe,2026-09-16,10:15,Hyrox,Iconic Potsdam Hyrox event,2213
HYROX Darmstadt Summer,Hyrox,Indoor Fitness Race,Pro,Darmstadt,Germany,Europe,2026-07-13,10:00,Hyrox,Darmstadt fitness challenge,20447
Triathlon Rostock,Triathlon,Full Ironman,,Rostock,Germany,Europe,2026-12-07,09:30,Full Ironman,Full distance triathlon in Rostock,7723
Night Ultra Regensburg,Trail Running,Night Ultra,165K,Regensburg,Germany,Europe,2026-02-28,06:30,165km,Trail adventure in Regensburg region,18962
Triathlon Stuttgart,Triathlon,Full Ironman,,Stuttgart,Germany,Europe,2026-04-26,06:45,Full Ironman,Full distance triathlon in Stuttgart,12923
Trail Marathon Oberhausen,Trail Running,Trail,80K,Oberhausen,Germany,Europe,2026-02-25,07:30,80km,Trail adventure in Oberhausen region,27053
Triathlon Ludwigshafen,Triathlon,Olympic Distance,,Ludwigshafen,Germany,Europe,2026-06-11,08:15,Standard,Olympic tri in Ludwigshafen,5108
5K Göttingen,Running,Road Running,5K,Göttingen,Germany,Europe,2026-06-27,09:15,5km,Quick 5K event in Göttingen,27819
Ultra Trail Berlin,Trail Running,Ultra Trail,45K,Berlin,Germany,Europe,2026-09-27,07:15,45km,Trail adventure in Berlin region,26370
20K Essen,Running,Road Running,20K,Essen,Germany,Europe,2026-07-07,10:00,20km,20K challenge in Essen,15516
HYROX Aachen Winter,Hyrox,Indoor Fitness Race,Pro,Aachen,Germany,Europe,2026-10-09,09:30,Hyrox,Iconic Aachen Hyrox event,8928
Ultra Trail Bochum,Trail Running,Ultra Trail,145K,Bochum,Germany,Europe,2026-12-05,09:15,145km,Trail adventure in Bochum region,23900
Spartan Sprint Heilbronn,Spartan,Obstacle Race,Sprint,Heilbronn,Germany,Europe,2026-10-20,08:45,5K,Fast Heilbronn Sprint with obstacles,5353
