name,sport,sport_category,sport_subtype,city,country,continent,date,start_time,distance,description,participants
10 km de Paris Centre,Running,Running,10K,Paris,France,Europe,2026-06-14,09:00:00,10km,Fast scenic 10K organised by Paris Running Club,12000
10 km de Valenciennes,Running,Running,10K,Valenciennes,France,Europe,2026-10-18,10:00:00,10km,Popular fast 10K in Hauts-de-France,8000
10K Alicante,Running,Running,10K,Alicante,Spain,Europe,2026-04-13,09:30:00,10km,Costa Blanca race,7000
10K Bilbao Night,Running,Running,10K,Bilbao,Spain,Europe,2026-10-11,20:00:00,10km,Illuminated Guggenheim run,9000
10K Granada,Running,Running,10K,Granada,Spain,Europe,2026-10-19,09:30:00,10km,Alhambra night race,7500
10K Ibiza,Running,Running,10K,Ibiza,Spain,Europe,2026-04-27,19:00:00,10km,Sunset island race,8000
10K Ibiza Sunset,Running,Running,10K,Ibiza,Spain,Europe,2026-10-18,19:00:00,10km,Famous sunset run,9000
10K Logroño,Running,Running,10K,Logroño,Spain,Europe,2026-10-05,10:30:00,10km,Wine capital 10K,6000
10K Madrid Corre por Ucrania,Running,Running,10K,Madrid,Spain,Europe,2026-02-23,09:30:00,10km,Charity city race,10000
10K Málaga,Running,Running,10K,Málaga,Spain,Europe,2026-03-16,09:30:00,10km,Costa del Sol race,10000
10K Palma de Mallorca,Running,Running,10K,Palma de Mallorca,Spain,Europe,2026-11-02,09:00:00,10km,Bay of Palma race,8500
10K San Sebastián,Running,Running,10K,San Sebastián,Spain,Europe,2026-11-16,09:00:00,10km,La Concha bay race,9000
10K Sevilla,Running,Running,10K,Sevilla,Spain,Europe,2026-01-26,09:30:00,10km,Andalusian classic,12000
10K Valencia,Running,Running,10K,Valencia,Spain,Europe,2026-01-11,08:30:00,10km,Popular 10K race in Valencia,8000
10K Valencia Ibercaja,Running,Running,10K,Valencia,Spain,Europe,2026-01-12,09:00:00,10km,Fastest 10K in Spain,15000
10K Vitoria-Gasteiz,Running,Running,10K,Vitoria-Gasteiz,Spain,Europe,2026-11-16,10:00:00,10km,Basque green city 10K,6500
10K Zaragoza,Running,Running,10K,Zaragoza,Spain,Europe,2026-04-13,10:00:00,10km,Ebro river 10K,7000
10km de Lyon,Running,Running,10K,Lyon,France,Europe,2026-07-10,19:00:00,10km,Night run along the Rhône,12000
10km de Nice,Running,Running,10K,Nice,France,Europe,2026-05-15,09:00:00,10km,Seafront 10K on the Riviera,10000
10km de Paris,Running,Running,10K,Paris,France,Europe,2026-06-21,09:30:00,10km,Summer 10K in the heart of Paris,20000
13th Istria 100 by UTMB - 69K,Running,Running,Ultra Marathon,Buzet,Croatia,Europe,2026-04-11,07:00:00,69.6km,Trail ultra run in Buzet,500
14. Bilstein BiMa 57 Ultra-Trail,Running,Running,Ultra Marathon,Witzenhausen,Germany,Europe,2026-04-12,07:00:00,57km,Trail ultra run in Witzenhausen,500
14th Istria 100 by UTMB - 110K,Running,Running,Ultra Marathon,Buzet,Croatia,Europe,2026-04-11,07:00:00,111.4km,Trail ultra run in Buzet,500
17. Vértesi Terep Ultramaraton,Running,Running,Ultra Marathon,Szar,Hungary,Europe,2026-04-12,07:00:00,50km,Trail ultra run in Szar,500
18 Tyresö Extreme Challenge (TEC) - 100 miles,Running,Running,Ultra Marathon,Tyresö,Sweden,Europe,2026-04-18,07:00:00,100mi,Trail ultra run in Tyresö,500
2. Halener Ultra,Running,Running,Trail Running,Lotte,Germany,Europe,2026-04-11,07:00:00,47km,Trail run in Lotte,500
20 km de Paris,Running,Running,Custom Distance,Paris,France,Europe,2026-10-11,10:00:00,20km,Iconic autumn 20 km race from Pont d’Iéna,30000
20 van Alphen,Running,Running,Half Marathon,Alphen aan den Rijn,Netherlands,Europe,2026-03-01,10:00:00,21.1 km,Classic fast half marathon with 10km and shorter distances in central Netherlands,8000
2026 Europe Triathlon Championships Tarragona,Triathlon,Triathlon,Olympic,Tarragona,Spain,Europe,2026-06-13,07:00:00,1.5km-40km-10km,ETU European Championships,1500
2026 Europe Triathlon Multisport Championships Banyoles,Triathlon,Triathlon,Olympic,Banyoles,Spain,Europe,2026-07-11,07:00:00,1.5km-40km-10km,ETU Multisport European Championships,2000
20km de Paris,Running,Running,Custom Distance,Paris,France,Europe,2026-10-11,09:00:00,20km,Iconic point-to-point 20K race,35000
3. Rureifel-Trail,Running,Running,Ultra Marathon,Hürtgenwald,Germany,Europe,2026-04-18,07:00:00,77km,Trail ultra run in Hürtgenwald,500
3rd Devon Coast To Coast Ultra 75km,Running,Running,Ultra Marathon,Wembury,Great Britain,Europe,2026-04-18,07:00:00,75km,Trail ultra run in Wembury,500
